数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,baseline_candidate,sensitivity_selected_count,sensitivity_selected_share,PotentialUse_CRITIC_percentile,ActualUse_type_percentile,DormantScore_rule,robustness_rank
O1928138402025151,静安区公共厕所基本信息,城市建设,数据产品,有条件开放,1,45,0.8333333333333334,0.9100534647237656,0.1154262224145391,0.7946272423092264,248.0267323618828
O2813838802025128,嘉定区微型消防站表,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.893385050843904,0.0999567286888792,0.7934283221550248,248.0268371946745
O1928138382025415,嘉定区应急管理事件受理表-受理信息表,卫生健康,数据产品,有条件开放,1,45,0.8333333333333334,0.8581612328336303,0.0653396797922977,0.7928215530413326,248.0269420274662
O2813841502026093,徐汇区康健街道_感温探测器_物联设备信息,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.940454974315966,0.1508005192557334,0.7896544550602327,248.02704686025788
O1928138382025984,嘉定区环境监测信息,资源环境,数据产品,有条件开放,1,45,0.8333333333333334,0.9378341545235348,0.1500432713111207,0.7877908832124141,248.02715169304957
O2813838802025119,嘉定区预案信息表,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.8135024635706049,0.0276936391172652,0.7858088244533397,248.0272565258413
O1928138382025356,嘉定区邻里中心社区服务相关机构,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.8364608449523011,0.0519255733448723,0.7845352716074288,248.027361358633
O2813841502025121,徐汇区企业严重违法信息,经济建设,数据产品,有条件开放,1,45,0.8333333333333334,0.92357689485271,0.1406317611423626,0.7829451337103475,248.02746619142468
O1928138382025284,宝山区不按照规定携带车辆营运证处罚信息,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.8339448579515673,0.0519255733448723,0.7820192846066949,248.02757102421637
O2813841502025056,徐汇区徐家汇街道公共法律服务机构,民生服务,数据产品,无条件开放,1,45,0.8333333333333334,0.956808889820736,0.1757897014279532,0.7810191883927828,248.02767585700806
O1928138382025365,嘉定区邻里中心文化休闲活动积分商品,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.8402348254534018,0.0612289052358286,0.7790059202175732,248.02778068979978
O1928138382025384,嘉定区公务用车-车辆维修信息表,机构团体,数据产品,有条件开放,1,45,0.8333333333333334,0.848935947164273,0.0704240588489831,0.77851188831529,248.02788552259148
O2813841502025049,徐汇区凌云路街道公共法律服务机构,民生服务,数据产品,无条件开放,1,45,0.8333333333333334,0.968025998532341,0.1916919082648204,0.7763340902675205,248.02799035538317
O2813838802025034,嘉定区水厂基本信息表,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.8235664115735402,0.0519255733448723,0.7716408382286679,248.02809518817486
O1928138382025407,嘉定区应急管理发布内容表,卫生健康,数据产品,有条件开放,1,45,0.8333333333333334,0.8407589894118881,0.0704240588489831,0.770334930562905,248.02820002096655
O1928138382025364,嘉定区邻里中心文化休闲活动积分兑换,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.8404444910367963,0.0704240588489831,0.7700204321878132,248.02830485375824
O1928138382025434,上海市嘉定区卫生健康委员会慢病-管理状态与失访信息,卫生健康,数据产品,有条件开放,1,45,0.8333333333333334,0.8699025055037216,0.0999567286888792,0.7699457768148424,248.02840968654996
O2813841502025045,徐汇区枫林街道公共法律服务机构,民生服务,数据产品,无条件开放,1,45,0.8333333333333334,0.9532445749030296,0.1840112505408914,0.7692333243621382,248.02851451934166
O1928138382025279,宝山区从事非法客运活动第一次被查获处罚信息,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.8343641891183562,0.0653396797922977,0.7690245093260585,248.02861935213335
O1928138382025431,嘉定区数字档案馆系统建房用地档案基本信息表,城市建设,数据产品,有条件开放,1,45,0.8333333333333334,0.9046021595555088,0.1365209865858935,0.7680811729696153,248.02882901771673
14243,浦东新区用海主体海域使用监管情况,城市建设,数据产品,有条件开放,1,45,0.8333333333333334,0.9048118251389036,0.139225443530939,0.7655863816079646,248.02893385050845
O2813838802025136,嘉定区邻里中心在线咨询记录表,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.8058496697767061,0.0424058848983124,0.7634437848783937,248.02903868330014
O2813841502025007,徐汇区凌云街道楼宇基础信息表,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.90722297934794,0.1439852877542189,0.7632376915937211,248.02914351609184
O1928138382025439,嘉定区文化e家活动地点与时间表,文化休闲,数据产品,有条件开放,1,45,0.8333333333333334,0.8660236922109236,0.1055819991345737,0.7604416930763499,248.02924834888353
O1928138382025375,嘉定区邻里中心文化休闲活动投诉回复,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.8514519341650069,0.0931414971873647,0.7583104369776421,248.02935318167522
O2813839472026010,金山区“宝宝屋”情况表,民生服务,数据产品,无条件开放,1,45,0.8333333333333334,0.9168675961840864,0.1589138900908697,0.7579537060932167,248.0294580144669
O1928138382025480,嘉定区投促楼宇地址信息,城市建设,数据产品,有条件开放,1,45,0.8333333333333334,0.8671768529195932,0.1108827347468628,0.7562941181727304,248.02966768005032
O1928138382025374,嘉定区邻里中心文化休闲活动投诉登记,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.8608868854177587,0.1055819991345737,0.755304886283185,248.02977251284202
O1928138382025289,宝山区未按照规定制作危险货物运单处罚信息,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.8120348044868435,0.0567935958459541,0.7552412086408894,248.0298773456337
O2813838802025099,嘉定区公共安全监控视频轮询表,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.8478876192473006,0.0931414971873647,0.7547461220599359,248.0299821784254
O1928138382025391,嘉定区文旅嘉定云活动地点信息表,文化休闲,数据产品,有条件开放,1,45,0.8333333333333334,0.8461054617884475,0.0931414971873647,0.7529639646010828,248.03008701121712
O1928138382025281,宝山区未按照规定的周期和频次进行车辆综合性能检测和技术等级评定处罚信息,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.8519760981234931,0.0999567286888792,0.7520193694346139,248.0301918440088
O2813839472026007,金山区综合为老服务中心信息,民生服务,数据产品,无条件开放,1,45,0.8333333333333334,0.9201174127267008,0.1681090437040242,0.7520083690226765,248.0302966768005
