数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,baseline_candidate,sensitivity_selected_count,sensitivity_selected_share,PotentialUse_CRITIC_percentile,ActualUse_type_percentile,DormantScore_rule,robustness_rank
AA7002018001,街道（镇）社区事务受理服务中心拍照点,民生服务,数据产品,无条件开放,0,0,0.0,0.1249606877031135,0.8517957594115102,-0.7268350717083967,2673.9624698605726
642,黄浦区旅行社信息,公共安全,数据产品,无条件开放,0,0,0.0,0.0020966558339448,0.7291215923842492,-0.7270249365503044,2673.962574693364
643,黄浦区银行网点一览表,公共安全,数据产品,无条件开放,0,0,0.0,0.0035643149177062,0.7308524448290783,-0.7272881299113721,2673.9626795261556
2274,近年来上海市农村常住居民收支情况,经济建设,数据接口,无条件开放,0,0,0.0,0.19163434322256,0.9196501220504476,-0.7280157788278876,2673.9627843589474
AB6002018015,基于数字证书的外资企业信息管理系统所属事项信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0148862564210084,0.7434011250540892,-0.7285148686330808,2673.962889191739
AQ1002018018,静安区健康档案建档,卫生健康,数据产品,无条件开放,0,0,0.0,0.1863927036376978,0.9151882302033753,-0.7287955265656775,2673.962994024531
237,闵行区殡葬服务,机构团体,数据产品,无条件开放,0,0,0.0,0.0137330957123388,0.7429684119428819,-0.729235316230543,2673.9630988573226
O2813838222025112,宝山区豆制品制造企业名录,经济建设,数据接口,无条件开放,0,0,0.0,0.0410944543453192,0.7705451586655818,-0.7294507043202626,2673.9632036901144
AC5002015036,各时期社会经济主要指标,经济建设,数据产品,无条件开放,0,0,0.0,0.2053674389348988,0.9353093898745132,-0.7299419509396143,2673.963308522906
AD3002015018,《建设工程规划许可证》（市政交通）审批,城市建设,数据产品,无条件开放,0,0,0.0,0.1879651955131565,0.9180008654262224,-0.7300356699130659,2673.963413355698
AA4002016032,上海第二工业大学图书资源信息,教育科技,数据产品,无条件开放,0,0,0.0,0.1333473110388929,0.8636953699697101,-0.7303480589308171,2673.963518188489
