数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O1928138392025563,普陀区公园建成时间表,民生服务,上海市普陀区人民政府,数据产品,无条件开放,每年,0.3276720034617049,0.8188489359471642,0.4911769324854593,0.2837823671244365,-0.0438896363372683,0.8791666666666665,0.6447194719471947,0.2160530757979027,1.0,0.4289779874213837,0.675,0.7446910064281653,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025563&&companyFlag=0
O2813839472026031,金山区2025年度耕地地力保护补贴（蔬菜）单位明细表,农业农村,上海市金山区人民政府,数据产品,无条件开放,不定期更新,0.2565988749459109,0.7474578048013418,0.4908589298554309,0.2160603836880176,-0.0405384912578932,0.6875,0.8037128712871286,0.3113896766869316,1.0,0.4811179245283019,0.575,0.3025,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026031&&companyFlag=0
O5364112272025010,残疾人家庭无障碍改造信息,民生服务,上海市残疾人联合会,数据接口,无条件开放,每天,0.4598250610252237,0.9505189223189012,0.4906938612936776,0.5114791906908481,0.0516541296656244,0.7124999999999999,0.1318894389438943,0.5343459511232128,1.0,0.9652987421383648,0.985,0.8321331759790522,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5364112272025010&&companyFlag=0
O1928138392025576,普陀区心理科普馆信息,机构团体,上海市普陀区人民政府,数据产品,无条件开放,每年,0.2497836434443963,0.7399098437991404,0.490126200354744,0.1968759828074221,-0.0529076606369741,0.4958333333333333,0.5981848184818482,0.3126703953048355,1.0,0.4300786163522013,0.675,0.7791185478179137,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025576&&companyFlag=0
O1928138392025529,普陀区调味品监督抽检合格产品信息,公共安全,上海市普陀区人民政府,数据产品,无条件开放,每年,0.4536996971008221,0.9435999580668832,0.4899002609660612,0.2643883006604466,-0.1893113964403754,0.8416666666666667,0.8354372937293729,0.5709016753098659,1.0,0.4289779874213837,0.675,0.7917607272592408,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025529&&companyFlag=0
O5915184212025095,浦东新区企业授权实用新型专利数量统计,经济建设,上海市浦东新区人民政府,数据产品,无条件开放,每年,0.3827347468628299,0.8717894957542719,0.4890547488914419,0.4508858370898417,0.0681510902270118,0.7250000000000001,0.6614686468646864,0.4332037232811627,1.0,0.4003616352201258,0.7749999999999999,0.6599254361849097,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184212025095&&companyFlag=0
O1928138402025019,闵行区新虹街道城市体征服务单状态信息,民生服务,上海市闵行区人民政府,数据接口,无条件开放,不定期更新,0.3533360455655004,0.8391864975364294,0.4858504519709289,0.4659817590942446,0.1126457135287442,0.9208333333333332,0.7911716171617161,0.6692771026271034,0.42,0.5752987421383647,0.975,0.7482446209083267,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138402025019&&companyFlag=0
O0210151442025002,公路水路交通固定资产投资完成情况,道路交通,上海市交通委员会,数据产品,无条件开放,每月,0.37559498052791,0.8614110493762449,0.4858160688483349,0.4979557605619037,0.1223607800339937,0.6791666666666666,0.7708333333333334,0.3371821849672803,1.0,0.5997641509433963,0.485,0.6751598659416539,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O0210151442025002&&companyFlag=0
O1928138392025604,上海市普陀区演出场所情况一览表,文化休闲,上海市普陀区人民政府,数据产品,无条件开放,每年,0.2199264387710947,0.7053150225390502,0.4853885837679554,0.2206730265226963,0.0007465877516016,0.6583333333333333,0.7495255775577557,0.2570204647017313,1.0,0.4344811320754717,0.475,0.665717297572786,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025604&&companyFlag=0
O5915184132025194,关于印发《2025年上海市粮油规模种植主体单产提升项目实施方案》的通知,民生服务,上海市大数据中心,数据产品,无条件开放,静态数据,0.3297273907399394,0.814865289862669,0.4851378991227296,0.3139742111332425,-0.0157531796066969,0.8374999999999999,0.925,0.3237958038902225,1.0,0.2472877358490566,0.585,0.5599254361849098,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184132025194&&companyFlag=0
O1928138412025046,徐汇区天平街道居委信息表,民生服务,上海市徐汇区人民政府,数据产品,无条件开放,每年,0.3912808308091735,0.8760876402138589,0.4848068094046853,0.3722612433169095,-0.0190195874922639,0.8791666666666665,0.7140676567656766,0.2721688488230708,1.0,0.4113679245283019,0.7749999999999999,0.6599254361849097,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138412025046&&companyFlag=0
O1928138382025915,青浦区老年综合津贴发放情况,民生服务,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3335028478437754,0.8176957752384946,0.4841929273947191,0.4571758045916763,0.1236729567479009,0.7541666666666665,0.7395833333333334,0.5419191420712646,0.42,0.9652987421383648,0.7749999999999999,0.685898205117566,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025915&&companyFlag=0
O5915184132025199,光明食品集团蛋鸡项目配套鸡粪处理中心项目财务决算批复表,民生服务,上海市大数据中心,数据产品,无条件开放,静态数据,0.2199264387710947,0.703952196246986,0.4840257574758912,0.3325296152636545,0.1126031764925598,0.7541666666666665,0.8022277227722773,0.310292225919043,1.0,0.2472877358490566,0.585,0.5707344361146203,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184132025199&&companyFlag=0
