数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O1928138382025594,宝山区初中学校数信息,教育科技,上海市宝山区人民政府,数据产品,无条件开放,不定期更新,0.3020337516226741,0.5164063319006185,0.2143725802779443,0.4053884054932383,0.1033546538705642,0.6416666666666667,0.5523927392739274,0.1503029658330976,1.0,0.3397641509433962,0.7749999999999999,0.4717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025594&&companyFlag=0
O8065471362025068,场所介绍表,文化休闲,上海市文化和旅游局,数据接口,有条件开放,每天,0.1434092758340114,0.3576894852709927,0.2142802094369813,0.2941608135024636,0.1507515376684522,0.4916666666666666,0.5384282178217822,0.5001829222590766,0.42,0.9652987421383648,0.485,0.7126483526960111,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O8065471362025068&&companyFlag=0
O9780654712025026,上海市文创资金成果资助类(网络视听)拟扶持项目,文化休闲,上海市文化和旅游局,数据接口,有条件开放,每天,0.2157241659886086,0.4284516196666317,0.212727453678023,0.3037005975469127,0.087976431558304,0.4916666666666666,0.7189975247524752,0.4508402486969151,0.42,0.7242610062893081,0.7849999999999999,0.5739774706135342,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O9780654712025026&&companyFlag=0
O2813839692025104,虹口区2025年北外滩环保座椅位置信息,民生服务,上海市虹口区人民政府,数据接口,无条件开放,每年,0.0121033360455655,0.2239228430653108,0.2118195070197453,0.2567355068665478,0.2446321708209823,0.8374999999999999,0.6961427392739273,0.3824403026813324,0.42,0.6270911949685535,0.475,0.5856308370178573,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692025104&&companyFlag=0
O1928138422025103,松江区主要农机产品补贴定额,民生服务,上海市松江区人民政府,数据接口,有条件开放,每天,0.3106183889340927,0.5218576370688751,0.2112392481347823,0.4133556976622287,0.102737308728136,0.7958333333333333,0.5635932343234324,0.5554631172030186,0.42,0.7242610062893081,0.7749999999999999,0.682930395114271,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138422025103&&companyFlag=0
O1928138382025249,杨浦区创业服务数字社区工位管理表,经济建设,上海市杨浦区人民政府,数据接口,有条件开放,每月,0.2555939788445891,0.4660865918859419,0.2104926130413528,0.3440612223503512,0.088467243505762,0.6833333333333335,0.6676155115511552,0.5714188607767863,0.42,0.5997641509433963,0.7749999999999999,0.6612551633673841,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025249&&companyFlag=0
O5915184142025118,未来产业试验场“揭榜挂帅”项目名单,经济建设,上海市大数据中心,数据产品,无条件开放,不定期更新,0.1840112505408914,0.3943809623650278,0.2103697118241363,0.2856693573749869,0.1016581068340954,0.6416666666666667,0.6634282178217822,0.1920611593660742,1.0,0.3386635220125786,0.485,0.3926041470552556,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184142025118&&companyFlag=0
O1928138402025129,闵行区虹桥镇企业骨干额度限定信息,社会发展,上海市闵行区人民政府,数据接口,有条件开放,不定期更新,0.0121033360455655,0.2224551839815494,0.2103518479359839,0.2379704371527413,0.2258671011071759,0.6875,0.6614273927392739,0.5689784566269546,0.42,0.5752987421383647,0.475,0.5994472597398315,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138402025129&&companyFlag=0
O2813838442025037,长宁区办件信息融合,民生服务,上海市长宁区人民政府,数据接口,有条件开放,每年,0.1642595606183889,0.3736240696089737,0.2093645089905847,0.3401824090575532,0.1759228484391643,0.7958333333333333,0.5808374587458747,0.7981597391390413,0.42,0.6402987421383648,0.475,0.5945126080079802,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838442025037&&companyFlag=0
O1928138422025203,上海市松江区生态环境局_综合管理平台建设_噪声小时表（新）,资源环境,上海市松江区人民政府,数据接口,无条件开放,每天,0.3106183889340927,0.5199706468183247,0.2093522578842319,0.5139951776915819,0.2033767887574891,0.7208333333333333,0.7683168316831683,0.7125149015689072,0.42,0.9652987421383648,0.275,0.4881720324326236,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138422025203&&companyFlag=0
