feature,full_model_importance,fold_1_importance,fold_2_importance,fold_3_importance,fold_4_importance,fold_5_importance,oof_mean_importance,oof_std_importance
title_len,1.0852380957326553,1.0103275867640629,1.117514339670034,1.0751834429132572,1.0945831217662212,0.9536314702466253,1.05024799227204,0.06715752564385986
format_count_clean,0.7290695505956423,0.7827869145019322,1.0780174140814658,1.2015912428321414,0.973648461752112,0.8157572107367272,0.9703602487808757,0.17617782586071945
is_data_product,0.7917809087202297,0.8530756384369302,1.0591632174449281,1.255311477937871,0.5501450841265162,1.112921092131829,0.966123302015615,0.2737030645325923
record_count_log_winsor_p99,0.9251424381955556,0.7589935012824162,0.9113821226804107,1.0121145073740656,0.9634871031631517,0.9769642138117739,0.9245882896623636,0.09938967589008545
detail_time_scope,0.9596316701585154,0.9180198300482181,0.9335489454327606,0.6869450894929027,0.7986637325605045,1.0040119559920007,0.8682379107052773,0.1253854212137773
数据资源类型,0.74323782993445,1.349399831299218,0.6917058568128875,0.40351294892619266,0.965061607880961,0.5376664711220529,0.7894693432082625,0.37625773043783495
data_size_log_winsor_p99,0.7035834168985967,0.8491471184655085,0.715085568720308,0.6361916301515963,0.7685452461372974,0.5845115201789817,0.7106962167307384,0.10489034735204193
type_code,0.8275226131046567,0.4785186089918008,0.33501289690124025,0.9268045650222203,0.9851101201873547,0.550878589145845,0.6552649560496923,0.286019561275305
field_count_clean,0.38868945741828953,0.4011447771217788,0.44468420065094083,0.3888390153969946,0.4051167791492648,0.4730112148099861,0.42255919742579306,0.03512402259918901
开放条件,0.6389555229226148,0.48775394584257026,0.26756001658749745,0.5243405039847793,0.05519908437151726,0.4633409303057999,0.35963889621843287,0.1971397451849485
recommended_names_suspicious_flag,0.26263767283013506,0.4114467502333222,0.24304861088354027,0.3294578631735023,0.4370706297365789,0.18485626132070568,0.32117602306952986,0.10762890282218959
description_has_field_hint,0.17651355860682494,0.251756242362811,0.23561357973249822,0.2728149035048524,0.26032295217312107,0.36747433892806014,0.2775964033402686,0.052032560860592866
scene_keyword_count,0.1753596810016159,0.22370907572585913,0.22599437824076543,0.2618202063738257,0.2542463944880476,0.2760238213833102,0.24835877524236158,0.02285280565909252
has_rdf_clean,0.2374802550490614,0.028199113870744877,0.07548555945314213,0.13139352270755214,0.2836191702534894,0.3580946538854907,0.17535840403408387,0.14024646436567603
has_standard_field_description,0.4018454306997599,0.03671161966572455,0.29808219167167854,0.3830949951580681,0.058588738452985706,0.07388997901474875,0.1700735047926411,0.1590832293451152
has_geo_field_strict,0.137009269354017,0.21131317216789205,0.21610010795619025,0.15693720735339356,0.1553163193005738,0.10632161408560012,0.16919768417272996,0.0454696697205594
has_csv_clean,0.18300633213901535,0.14491642772421193,0.2370522568107293,0.08272744959263226,0.22446733130600463,0.06641647664730048,0.1511159884161757,0.07850938768453186
has_time_field_strict,0.06444441268637298,0.030766028422571368,0.07530889577488994,0.23013464217859406,0.11764957994612851,0.14964014177868207,0.12069985762017318,0.07578134560001455
has_xlsx_clean,0.2006009859964842,0.07511331918734986,0.08051538792013874,0.15369267832062503,0.11633835592946459,0.12606681606437772,0.1103453114843912,0.03276123517467753
has_data_sample,0.14709878191920164,0.08653039357926152,0.1203029326540434,0.08447162181536172,0.1445159761081653,0.10286836560266266,0.10773785795189891,0.02512616824251077
date_order_anomaly,0.012757206202131348,0.006923014963698507,0.01572814330202255,0.010361531261478044,0.04286302147195456,0.05327855272245555,0.02583085274432184,0.02087068506547913
low_field_count_flag,0.022078397910430685,0.018475020837675032,0.016145015299050464,0.0030260678327521215,0.016564012404787828,0.030767425785760735,0.016995508432005237,0.009847708649782086
has_xml_clean,0.008699053119662365,0.002689587407685414,0.012341140932097344,0.05067137794841622,0.01110718618742032,0.00256276879252672,0.015874412253629202,0.01998173372117529
suspicious_field_names_flag,0.002739454059080915,0.020942063247418055,0.006028898317964067,0.0032897315723508735,0.011847988485784043,0.0004906754033841886,0.008519871405380245,0.008115024822744041
has_json_clean,0.001980306082788247,0.001771788021782581,0.007342255755944386,0.002700394648241515,0.0064246590385080285,0.0,0.0036478194928953023,0.003125835573627887
数据资源状态,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
