rule_dormant_rank,序号,数据集ID,数据资源名称,数据资源提供部门,数据领域,数据资源类型,开放属性,更新频率,detail_url,view_count_clean,download_count_clean,api_call_count_clean,ActualUse_main_percentile,PotentialUse_main_percentile,DormantScore_rule_v11,DormantScore_rule_rank_v11,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,format_count_clean,field_count_clean,field_description_count_clean,record_count_log_winsor_p99,data_size_log_winsor_p99,has_meaningful_time_scope,has_time_field_strict,has_geo_field_strict
335,2227,O1928138392025551,普陀区餐饮食品监督抽检合格产品信息,上海市普陀区人民政府,公共安全,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025551&&companyFlag=0,14.0,5.0,0.0,0.2333405452185201,0.9491560960268371,0.715815550808317,335.0,0.8416666666666667,0.849319306930693,0.5803119804944816,1.0,0.4289779874213837,0.675,0.7917607272592408,5.0,13.0,13.0,11.08481589537751,13.862944564872768,0,1,1
336,2001,O5485687442025018,互联网销售医疗器械第三方平台备案结果信息,上海市药品监督管理局,卫生健康,数据接口,有条件开放,每月,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5485687442025018&&companyFlag=0,14.0,0.0,0.0,0.2433889340927583,0.9569137226124332,0.7135247885196749,336.0,0.7958333333333333,0.7300742574257426,0.5255144822501602,1.0,0.8352987421383649,0.485,0.7470608878949075,5.0,15.0,60.0,5.123963979403259,10.620375673477872,0,1,0
337,2215,O1928138392025539,普陀区蔬菜制品监督抽检合格产品信息,上海市普陀区人民政府,公共安全,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025539&&companyFlag=0,14.0,5.0,0.0,0.2333405452185201,0.9468497746094978,0.7135092293909777,337.0,0.8416666666666667,0.849319306930693,0.5693640957766133,1.0,0.4289779874213837,0.675,0.7917607272592408,5.0,13.0,13.0,11.085582778342747,12.93041079077521,0,1,1
338,4613,O1928138382025398,嘉定区文旅嘉定云活动提交记录基本信息表,上海市嘉定区人民政府,文化休闲,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025398&&companyFlag=0,18.0,0.0,0.0,0.0817827780181739,0.7952615578152846,0.7134787797971107,338.0,0.5333333333333333,0.7889645214521452,0.2662000032881749,1.0,0.4113679245283019,0.7749999999999999,0.4717261344435873,5.0,13.0,0.0,2.833213344056216,9.416459832284596,1,1,0
339,2213,O1928138392025537,普陀区糖果制品监督抽检合格产品信息,上海市普陀区人民政府,公共安全,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025537&&companyFlag=0,14.0,5.0,0.0,0.2333405452185201,0.9467449418178006,0.7134043965992805,339.0,0.8416666666666667,0.849319306930693,0.5692527436794517,1.0,0.4289779874213837,0.675,0.7917607272592408,5.0,13.0,13.0,11.08593534711647,12.920435670011384,0,1,1
340,4592,O1928138382025419,嘉定区应急管理物品批次表,上海市嘉定区人民政府,卫生健康,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025419&&companyFlag=0,17.0,0.0,0.0,0.0761575075724794,0.7883425935632666,0.7121850859907872,340.0,0.8374999999999999,0.7410478547854785,0.1366443064401659,1.0,0.4113679245283019,0.7749999999999999,0.4717261344435873,5.0,3.0,0.0,2.833213344056216,9.416459832284596,1,1,0
341,2008,O1928138382025985,嘉定区活动公告,上海市嘉定区人民政府,文化休闲,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025985&&companyFlag=0,14.0,0.0,0.0,0.0612289052358286,0.7732466715588636,0.712017766323035,341.0,0.5333333333333333,0.5981229372937293,0.2998609780272643,1.0,0.442185534591195,0.7749999999999999,0.665717297572786,5.0,6.0,6.0,3.4657359027997265,9.704121561132917,1,1,0
342,2118,O1928138392025600,上海市普陀区长寿路街道党群服务中心（宜昌片区）信息,上海市普陀区人民政府,民生服务,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025600&&companyFlag=0,13.0,3.0,0.0,0.1916919082648204,0.90266275290911,0.7109708446442896,342.0,0.8374999999999999,0.8036922442244224,0.2937790606509796,1.0,0.4542924528301887,0.675,0.7751598659416539,5.0,8.0,8.0,2.302585092994046,7.6251071482389,0,1,1
343,2223,O1928138392025547,普陀区糕点监督抽检合格产品信息,上海市普陀区人民政府,公共安全,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025547&&companyFlag=0,15.0,4.0,0.0,0.2289052358286456,0.9397211447740852,0.7108159089454396,343.0,0.8416666666666667,0.8215552805280527,0.5698438404890371,1.0,0.4289779874213837,0.675,0.7917607272592408,5.0,13.0,13.0,11.08523008522044,12.971728842022973,0,1,1
344,1154,O2813842482025118,黄浦区信息管线信息表,上海市黄浦区人民政府,城市建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482025118&&companyFlag=0,14.0,0.0,0.0,0.0612289052358286,0.771674179683405,0.7104452744475764,344.0,0.6791666666666666,0.6286303630363036,0.474961332026472,1.0,0.4697012578616352,0.475,0.6599254361849097,5.0,5.0,5.0,10.657635754653471,16.347850340459765,0,1,0
