encoded_feature,original_feature,mean_abs_shap,mean_signed_shap,std_shap
cat__detail_time_scope_2020年-2021年,detail_time_scope,0.0015446963,-0.0015446963,6.948348e-05
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;,开放条件,0.0014668617,0.0009143057,0.0017045226
cat__数据资源提供部门_上海市气象局,数据资源提供部门,0.001456534,0.001456534,0.0014528133
cat__spatial_admin_level_市级,spatial_admin_level,0.0014491108,0.0014472335,0.00094408146
cat__detail_spatial_scope_黄浦区,detail_spatial_scope,0.001348718,0.0013470971,0.00061773433
num__recommended_dataset_count_clean,recommended_dataset_count_clean,0.0013438289,0.0010516358,0.0014839525
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依审核开放,开放条件,0.0013195993,-0.0012840496,0.00093757885
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&依申请开放，成果需模糊敏感信息,开放条件,0.0013138128,-0.0013138128,0.00028370714
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请通过即可开放,开放条件,0.0013039279,0.0012861392,0.0007673302
cat__数据资源提供部门_上海市应急管理局,数据资源提供部门,0.0013002267,-0.0013002267,0.00028455027
